fold,model,feature,importance
10,gradient_boosting,max_mag_7d,0.012227621154943885
10,gradient_boosting,max_mag_30d,0.006558789777444386
10,gradient_boosting,mean_depth_30d,0.03737130267165318
10,gradient_boosting,days_since_m5,0.04961724558056535
10,gradient_boosting,min_fault_dist_km,0.014151278146343597
10,gradient_boosting,mean_fault_dist_km_7d,0.0361697085385442
10,gradient_boosting,pct_near_fault_30d,0.029741206651274374
10,gradient_boosting,num_clusters_30d,0.0014434847787035054
10,gradient_boosting,largest_cluster_size_30d,0.0036440053481478084
10,gradient_boosting,pct_clustered_30d,0.008295496961143902
10,gradient_boosting,max_grid_cell_count_30d,0.00279246147952739
10,gradient_boosting,b_value_180d,0.033026945497274314
10,gradient_boosting,a_value_180d,0.016864985292466682
10,gradient_boosting,delta_b_90d,0.00532008830877923
11,random_forest,count_1d,0.004915718080528016
11,random_forest,count_7d,0.011051555371286093
11,random_forest,count_30d,0.6100966719320571
11,random_forest,max_mag_7d,0.022842471417854626
11,random_forest,max_mag_30d,0.02988754077143491
11,random_forest,mean_depth_30d,0.06590925682975282
11,random_forest,days_since_m5,0.0499219179783264
11,random_forest,min_fault_dist_km,0.024541127328085235
11,random_forest,mean_fault_dist_km_7d,0.04754630595141408
11,random_forest,pct_near_fault_30d,0.0198854732649383
11,random_forest,num_clusters_30d,0.0064209661558993205
11,random_forest,largest_cluster_size_30d,0.010679916159687185
11,random_forest,pct_clustered_30d,0.02006777237606197
11,random_forest,max_grid_cell_count_30d,0.0056051780883974115
11,random_forest,b_value_180d,0.038599765361085024
11,random_forest,a_value_180d,0.024682261286064947
11,random_forest,delta_b_90d,0.00734610164712649
11,gradient_boosting,count_1d,0.003548240903034748
11,gradient_boosting,count_7d,0.01255724452332113
11,gradient_boosting,count_30d,0.7196309873025891
11,gradient_boosting,max_mag_7d,0.01407520440640064
11,gradient_boosting,max_mag_30d,0.008763405110625955
11,gradient_boosting,mean_depth_30d,0.030224532179782587
11,gradient_boosting,days_since_m5,0.0515170928501032
11,gradient_boosting,min_fault_dist_km,0.011883896890982374
11,gradient_boosting,mean_fault_dist_km_7d,0.059767351311726925
11,gradient_boosting,pct_near_fault_30d,0.012766688877853356
11,gradient_boosting,num_clusters_30d,0.0059833445636022714
11,gradient_boosting,largest_cluster_size_30d,0.005820378048130126
11,gradient_boosting,pct_clustered_30d,0.0061669025726695135
11,gradient_boosting,max_grid_cell_count_30d,0.0034410402171469946
11,gradient_boosting,b_value_180d,0.03429432450028243
11,gradient_boosting,a_value_180d,0.015749260802364273
11,gradient_boosting,delta_b_90d,0.003810104939384312
12,random_forest,count_1d,0.005119440971136016
12,random_forest,count_7d,0.009872099910366973
12,random_forest,count_30d,0.6088439858861809
12,random_forest,max_mag_7d,0.022626734726069884
12,random_forest,max_mag_30d,0.028721738865770844
12,random_forest,mean_depth_30d,0.062132962116900586
12,random_forest,days_since_m5,0.05597523679003421
12,random_forest,min_fault_dist_km,0.02665945825331001
12,random_forest,mean_fault_dist_km_7d,0.046587812239984726
12,random_forest,pct_near_fault_30d,0.019562459471576563
12,random_forest,num_clusters_30d,0.006791802443764407
12,random_forest,largest_cluster_size_30d,0.008743314250297812
12,random_forest,pct_clustered_30d,0.018902204517428713
12,random_forest,max_grid_cell_count_30d,0.005979949979547153
12,random_forest,b_value_180d,0.039015553998606824
12,random_forest,a_value_180d,0.02613632235060752
12,random_forest,delta_b_90d,0.00832892322841666
12,gradient_boosting,count_1d,0.002604736725946851
12,gradient_boosting,count_7d,0.014437815737791519
12,gradient_boosting,count_30d,0.7247709713782503
12,gradient_boosting,max_mag_7d,0.014156407885000517
12,gradient_boosting,max_mag_30d,0.009383883310335848
12,gradient_boosting,mean_depth_30d,0.021657558872562828
12,gradient_boosting,days_since_m5,0.051994032779808644
12,gradient_boosting,min_fault_dist_km,0.015405639723115257
12,gradient_boosting,mean_fault_dist_km_7d,0.05643441306063787
12,gradient_boosting,pct_near_fault_30d,0.01021196614785703
12,gradient_boosting,num_clusters_30d,0.007695008086533742
12,gradient_boosting,largest_cluster_size_30d,0.004296575304630613
12,gradient_boosting,pct_clustered_30d,0.006186995944465308
12,gradient_boosting,max_grid_cell_count_30d,0.002860084379795359
12,gradient_boosting,b_value_180d,0.03518576631583207
12,gradient_boosting,a_value_180d,0.019333272264209205
12,gradient_boosting,delta_b_90d,0.0033848720832269177
13,random_forest,count_1d,0.005261113070679486
13,random_forest,count_7d,0.010966916500882029
13,random_forest,count_30d,0.6055336851332405
13,random_forest,max_mag_7d,0.024368881570688533
13,random_forest,max_mag_30d,0.029012065881148342
13,random_forest,mean_depth_30d,0.05504259522473908
13,random_forest,days_since_m5,0.055311909472742386
13,random_forest,min_fault_dist_km,0.02778213694043743
13,random_forest,mean_fault_dist_km_7d,0.04555273359938872
13,random_forest,pct_near_fault_30d,0.023005012228014314
13,random_forest,num_clusters_30d,0.006925164255400515
13,random_forest,largest_cluster_size_30d,0.00907815411901104
13,random_forest,pct_clustered_30d,0.018776057525118767
13,random_forest,max_grid_cell_count_30d,0.006310520276358038
13,random_forest,b_value_180d,0.04004555722290981
13,random_forest,a_value_180d,0.028505417576194046
13,random_forest,delta_b_90d,0.008522079403047184
13,gradient_boosting,count_1d,0.002176071137433524
13,gradient_boosting,count_7d,0.021124722199376094
13,gradient_boosting,count_30d,0.7375730131738165
13,gradient_boosting,max_mag_7d,0.01277959073876561
13,gradient_boosting,max_mag_30d,0.006340146206224818
13,gradient_boosting,mean_depth_30d,0.018269936421546885
13,gradient_boosting,days_since_m5,0.05327586519350153
13,gradient_boosting,min_fault_dist_km,0.014948243925509874
13,gradient_boosting,mean_fault_dist_km_7d,0.04598676030158465
13,gradient_boosting,pct_near_fault_30d,0.012993993966689665
13,gradient_boosting,num_clusters_30d,0.00159701578101324
13,gradient_boosting,largest_cluster_size_30d,0.003926783216813467
13,gradient_boosting,pct_clustered_30d,0.0060686212765798985
13,gradient_boosting,max_grid_cell_count_30d,0.003384583079361904
13,gradient_boosting,b_value_180d,0.03713811872215949
13,gradient_boosting,a_value_180d,0.018127950893524376
13,gradient_boosting,delta_b_90d,0.004288583766098584
