fold,model,mae,rmse,r2,zero_mae,event_mae,event_proba_mean_zero,event_proba_mean_event
9,two_stage_gated_50,0.828601539704666,1.2906510761265788,0.10280261356649623,1.0137580494651117,0.8026146611417965,0.4808120302938031,0.7911587662744161
10,linear_regression,0.7998926122460076,1.0383636831237588,0.49636581376443023,1.804324571037906,0.6172686197383896,,
10,random_forest,0.8102001624729527,1.0696138113940716,0.4655953532717463,1.8928208238173272,0.6133600422285209,,
10,gradient_boosting,0.8299433077236481,1.0781419218125836,0.4570396852770011,1.7835352888735883,0.656562947514568,,
10,two_stage_expected,0.8191942785243247,1.0453139994306049,0.4896010703060806,1.701803581456586,0.658719859809368,0.6131530574367743,0.8191835346440967
10,two_stage_gated_30,0.8720248893695981,1.2604651481955607,0.25787355866075223,2.792063815627146,0.5229269027773166,0.6131530574367743,0.8191835346440967
10,two_stage_gated_50,0.8682661660522115,1.267385654332259,0.2497019884367061,2.222554727792235,0.6220318820994799,0.6131530574367743,0.8191835346440967
11,linear_regression,0.853714377978355,1.0606702460795774,0.5214993122173008,1.6502955693488943,0.6249930458026557,,
11,random_forest,0.8271105583753111,1.0844289946304844,0.49982263331876287,1.7815021487288347,0.5530773294619231,,
11,gradient_boosting,0.8369456843599928,1.063614493000483,0.5188391461299022,1.623796987218887,0.6110180825490232,,
11,two_stage_expected,0.8699406045942281,1.0627779428265665,0.519595730223568,1.515993868045556,0.6844401626131534,0.5711226608989572,0.8123756037486141
11,two_stage_gated_30,0.9189007113986776,1.3439411431344899,0.2317858663977742,2.4780182639149304,0.4712332953296544,0.571122660898957,0.8123756037486141
11,two_stage_gated_50,0.9353179166802702,1.3557984840930764,0.2181704482575353,2.0108763605757045,0.6264942050667295,0.5711226608989572,0.8123756037486141
12,linear_regression,0.8836717874870919,1.1087700058362762,0.5352932716523913,1.6718017176027635,0.6960218041262175,,
12,random_forest,0.875862295165846,1.1256631138557167,0.5210249483402869,1.851624690827991,0.6435379152462876,,
12,gradient_boosting,0.9071368342241506,1.1843499449616939,0.4697799932046577,1.777793862331855,0.6998375418175542,,
12,two_stage_expected,0.9384882532318124,1.145785409130806,0.5037476258722688,1.57123687923994,0.7878338184679723,0.5769485104898782,0.7936387630444209
12,two_stage_gated_30,0.9819217326891727,1.378510802598461,0.2816826273160433,2.6764820832455682,0.5784549825566976,0.5769485104898782,0.7936387630444209
12,two_stage_gated_50,0.9815868276484963,1.3951862138362945,0.26419899780684863,1.9702314905036709,0.7461952412544072,0.5769485104898782,0.7936387630444209
13,linear_regression,0.9042190655625061,1.103210778628344,0.5220223461259824,1.4862671541535417,0.758707043414747,,
13,random_forest,0.9155023262460721,1.1715151500669718,0.46100291174114294,1.8112837425421795,0.6915569721720451,,
13,gradient_boosting,0.9482643580807846,1.1831227231327288,0.45026904617525143,1.55018226489141,0.7977848813781281,,
13,two_stage_expected,0.9305420073919766,1.1368063031946265,0.4924678637571499,1.2626434007682084,0.8475166590479184,0.47561804654053075,0.7635805282003945
13,two_stage_gated_30,0.9079790765021485,1.2890174199531002,0.3474584450048689,1.9474954501894974,0.6480999830803114,0.4756180465405307,0.7635805282003945
13,two_stage_gated_50,0.9947291964324683,1.3955405598761432,0.23515131009381884,1.192969406214037,0.9451691439870761,0.47561804654053075,0.7635805282003945
